SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,LOI,Li,Rb,Cs,Be,Ta,Nb,Sn,W,Ba,Sr,Y,Zr,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Source_Sheet,Li_Class,Li_Label,Total_Majors,ilr_SiO2_vs_rest,ilr_TiO2_vs_rest,ilr_Al2O3_vs_rest,ilr_Fe2O3_vs_rest,ilr_FeO_vs_rest,ilr_MgO_vs_rest,ilr_CaO_vs_rest,ilr_Na2O_vs_rest,ilr_K2O_vs_rest,ilr_P2O5_vs_rest,ilr_MnO_vs_rest,Rb_Sr,Ta_Nb,Rb_Cs,La_Yb,Ce_Yb,Sn_W,RowID_unlabelled,Pred_Class,Pred_Label,Conf_Max,Prob_poor,Prob_moderate,Prob_enriched
72.01,0.08,15.27,0.63,0.566874,0.2,0.9,3.39,6.62,0.1,0.01,,,318.0,7.95,,0.909,7.5,9.39,5.76,186.0,87.3,13.5,58.9,2.11,6.73,1.97,7.93,17.3,1.83,6.93,1.94,0.394,1.86,0.361,2.29,0.435,1.17,0.17,0.992,0.13,"Hopkinson T. N., 2016, PhD thes",,,99.776874,6.937611410041293,0.4652150546681446,6.050006826272913,3.382807571881957,3.722870522592537,3.1735067189060646,5.4025780251462185,8.099505712767916,11.229218086454214,10.745548618335697,15.355489095128682,3.642611683848797,0.1212,40.0,7.993951612903226,17.43951612903226,1.6302083333333337,41,0,poor,0.9473748,0.9473748,0.03488712,0.017738067
76.0,0.08,13.03,0.53,0.476894,0.21,0.92,2.77,4.83,0.06,0.01,,,162.0,2.62,,0.475,4.4,4.31,5.4,777.0,116.0,6.2,37.3,1.05,3.48,1.57,5.93,11.7,1.23,4.0,0.963,0.702,1.21,0.181,1.4,0.275,0.971,0.136,0.805,0.122,"Hopkinson T. N., 2016, PhD thes",,,98.916894,7.116460636591846,0.6045740439327758,6.036857246105718,3.35303700537046,3.689113873144422,3.373918873316196,5.610338623143259,8.103562861624873,11.103667184255858,10.32846124308049,15.355489095128682,1.396551724137931,0.1079545454545454,61.83206106870229,7.366459627329192,14.534161490683228,0.798148148148148,42,0,poor,0.9544562,0.9544562,0.028382875,0.017160889
70.43,0.01,16.54,0.36,0.323928,0.03,0.26,6.23,5.87,0.05,0.19,,,1041.0,111.0,,255.0,28.7,26.3,1.53,80.3,14.1,4.1,27.0,3.33,4.76,8.38,1.18,1.12,0.0734,0.181,0.0726,0.0135,0.0419,0.0112,0.0709,0.0601,0.0581,0.0104,0.078,0.0121,"Hopkinson T. N., 2016, PhD thes",,,100.293928,7.222574322571352,-1.380291855554095,6.285859123561573,2.968198472066033,3.2527479928422687,1.185986333454521,3.7688744259724514,8.167288666188986,10.475194591439225,8.977534135708947,17.43752186408727,73.82978723404256,8.885017421602788,9.37837837837838,15.128205128205128,14.35897435897436,17.18954248366013,43,2,enriched,0.9294454,0.04872254,0.021832034,0.9294454
73.79,0.07,14.15,0.77,0.6928460000000001,0.16,0.82,3.67,5.29,0.12,0.01,,,322.0,14.5,,3.81,12.9,3.8,0.86,188.0,61.0,24.2,46.3,1.54,10.1,6.48,11.0,22.6,2.45,9.21,2.42,0.393,2.85,0.539,3.49,0.747,2.14,0.316,2.15,0.328,"Hopkinson T. N., 2016, PhD thes",,,99.542846,6.968579280933194,0.3334797033266753,5.964826340027851,3.581212621163778,3.947840702275057,2.975508200229974,5.310769082492861,8.17987056160026,10.982356699567305,10.894413546087378,15.355489095128682,5.278688524590164,0.2953488372093023,22.20689655172414,5.116279069767442,10.511627906976743,4.418604651162791,44,0,poor,0.95888764,0.95888764,0.023036864,0.018075466
68.04,0.03,17.9,0.42,0.56,0.08,0.76,5.43,6.42,0.06,0.08,0.5,,369.0,6.88,12.7,0.96,5.23,4.15,0.52,44.5,16.1,31.0,55.1,3.02,15.3,4.86,8.27,18.4,2.35,9.46,3.77,0.09,4.85,0.88,5.25,1.09,3.24,0.57,3.95,0.57,"Zeng, Ling-Sen, et al., 2019",,,100.28000000000002,4.68018435682228,-2.9768976394097977,3.4459993472793147,-0.1271721253310989,0.1633454358409152,-1.91320812036398,0.2024282268968377,2.446398112624188,3.351674455505872,-0.9830396782620934,-1.2958307800931996,22.919254658385093,0.1835564053537284,53.63372093023256,2.093670886075949,4.658227848101265,7.980769230769231,52,0,poor,0.96634877,0.96634877,0.016781544,0.016869718
71.42,0.03,15.5,0.34,0.45,0.1,0.65,4.52,5.66,0.05,0.05,0.53,,337.0,6.74,11.6,1.14,5.8,5.09,0.62,725.0,20.7,17.0,36.8,2.01,12.0,5.42,6.74,15.3,1.86,7.09,2.9,0.08,2.79,0.54,2.8,0.56,1.76,0.28,2.15,0.3,"Zeng, Ling-Sen, et al., 2019",,,99.3,4.849382883043488,-2.842398474133364,3.442945879052312,-0.2020197771391252,0.0705865094588815,-1.5430829859994095,0.2246561395293349,2.443344078233965,3.4140495314883896,-0.9638146099912034,-1.6693758735819462,16.280193236714975,0.196551724137931,50.0,3.1348837209302327,7.116279069767442,8.209677419354838,53,0,poor,0.96573025,0.96573025,0.017446978,0.016822815
73.07,0.05,15.1,0.71,0.638858,0.1,0.7,3.88,4.82,0.1,0.01,0.73,,323.0,11.65,,0.5,4.9,12.0,,139.5,88.6,7.2,27.0,1.1,6.94,3.73,8.7,18.8,2.12,7.4,2.71,0.52,2.78,0.36,1.76,0.26,0.59,0.07,0.38,0.05,"Gao Peng, et al., 2021b",,,99.908858,4.807181854512258,-2.3768236855865124,3.3916411430487945,0.5493356523398538,0.5100153600240139,-1.4141869114055088,0.4583492478136261,2.476005385730966,3.4470085276452043,0.1284801235714165,-3.0338129652418724,3.6455981941309257,0.1020408163265306,27.72532188841201,22.89473684210526,49.47368421052632,,54,0,poor,0.9657427,0.9657427,0.017361728,0.016895587
72.59,0.05,15.32,0.77,0.6928460000000001,0.11,0.76,4.1,4.66,0.11,0.01,0.81,,320.0,12.45,,0.5,5.0,13.0,,147.5,88.2,8.5,63.0,2.5,8.5,4.15,12.2,26.7,2.93,10.7,3.41,0.55,3.17,0.4,1.93,0.3,0.7,0.09,0.52,0.08,"Gao Peng, et al., 2021b",,,99.982846,4.750828140483528,-2.4316436866419213,3.3462821894754886,0.5693276001239091,0.5326840980498976,-1.372690150521904,0.4931291295431759,2.488318487893109,3.360239902905746,0.1638469367372352,-3.107344796848373,3.6281179138321993,0.1,25.70281124497992,23.46153846153846,51.34615384615384,,55,0,poor,0.96199656,0.96199656,0.021201802,0.01680168
72.68,0.05,15.3,0.7,0.62986,0.09,0.73,4.14,4.79,0.08,0.01,0.96,,332.0,12.05,,0.4,4.7,11.0,,145.0,91.3,6.4,48.0,1.8,7.4,3.8,10.0,21.5,2.3,8.3,2.63,0.54,2.5,0.32,1.42,0.23,0.53,0.07,0.39,0.05,"Gao Peng, et al., 2021b",,,100.15986,4.799381184109339,-2.3797560421027706,3.4022691399134914,0.5322167804314336,0.4906043838258767,-1.5350819828293765,0.4766904093288922,2.5240676218985225,3.4269526064734093,-0.1655304372279037,-3.227481557883461,3.6363636363636367,0.0851063829787234,27.55186721991701,25.64102564102564,55.12820512820512,,56,0,poor,0.9640787,0.9640787,0.019136077,0.016785232
72.46,0.05,15.42,0.73,0.656854,0.1,0.76,4.12,4.81,0.07,0.01,0.67,,325.0,12.0,,0.5,4.6,12.0,,148.5,91.6,5.5,41.0,1.6,6.05,2.67,8.7,18.6,2.06,7.2,2.09,0.53,2.16,0.27,1.29,0.19,0.45,0.06,0.33,0.04,"Gao Peng, et al., 2021b",,,99.856854,4.818803065182806,-2.35530091243837,3.437540442971874,0.6078746009639202,0.576392288625641,-1.3675467948287072,0.6036219009473425,2.6290845084219203,3.572931864291982,-0.1277295902961589,-2.97316666397638,3.548034934497817,0.108695652173913,27.08333333333333,26.36363636363636,56.36363636363637,,57,0,poor,0.9630758,0.9630758,0.019813033,0.017111177
