SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,LOI,Li,Rb,Cs,Be,Ta,Nb,Sn,W,Ba,Sr,Y,Zr,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Source_Sheet,Li_Class,Li_Label,Total_Majors,ilr_SiO2_vs_rest,ilr_TiO2_vs_rest,ilr_Al2O3_vs_rest,ilr_Fe2O3_vs_rest,ilr_FeO_vs_rest,ilr_MgO_vs_rest,ilr_CaO_vs_rest,ilr_Na2O_vs_rest,ilr_K2O_vs_rest,ilr_P2O5_vs_rest,ilr_MnO_vs_rest,Rb_Sr,Ta_Nb,Rb_Cs,La_Yb,Ce_Yb,Sn_W
72.3633,0.0513,16.628,0.1558,0.14018884,0.0975,2.2136,6.5234,0.5429,0.089,0.0048,0.4715127701374726,2.203631578947368,9.579353383458647,0.5979172932330827,11.2569022556391,0.6561113527620707,1.533113527620705,1.643744360902256,3.380451127819549,28.9599022556391,88.43048872180451,7.489812030075187,11.802,0.5007293233082707,0.6232706766917293,28.66113092648979,4.126263157894737,6.435533834586466,0.6549624060150376,2.146586466165413,0.5366466165413534,1.128225563909775,0.7098947368421052,0.2028270676691729,1.231751879699248,0.281,0.938075187969925,0.1521203007518797,1.064842105263158,0.1309924812030075,Bhandari et al 2022,0.0,poor,99.28130161013746,5.210179059372238,-1.8982488305509495,3.9952768078388883,-0.48671429189232485,-0.6647548535248519,-1.1598266488306288,2.0482272243339223,3.7168996020037395,1.9276504246106512,0.5114169755018343,-3.2437323399458604,0.10832636483096406,0.42796005706134094,16.021201413427562,3.8749999999999996,6.043650793650793,0.48625000000000007
72.531741858266,0.0216325888884087,16.0694606086966,0.1828257512318656,0.16450661095843266,0.1363107601015498,2.100943559257484,6.814227324691898,1.237722590690717,0.5167649708075186,0.01179612347032642,0.3664582884241411,1.246812251206881,39.5987633637907,4.373129348419805,11.27744402056233,0.853249239553542,4.906077182309073,0.0,0.7440484684121327,97.66456385870084,66.83721726181733,28.50701969260939,12.3155662133993,0.3780531906413755,2.706378439887534,3.537040829388194,8.827677006369385,16.65865510427032,1.88000892678627,7.324822955948625,2.483805490062002,0.6496064116930632,2.61292049061291,0.6862554009938593,5.070858709404749,0.9393672026956269,2.649718748840353,0.4907749018235727,2.790538116043227,0.4143198176359869,Bhandari et al 2022,0.0,poor,100.15439103548495,4.953126839484557,-3.0879097043211057,3.554239815577813,-0.7739050201552314,-0.9903985303079275,-1.346691482347533,1.4028396198455757,3.033628626627457,1.9467792710224852,1.6834202667281952,-2.429699330895354,0.5924657696126531,0.17391679907325783,9.055017633562429,3.1634317967626853,5.969692730049872,0.0
73.14616839923512,0.0205269928026839,16.27969632345981,0.3868219039081421,0.34806234913654627,0.07267838389200296,0.5052507971101811,7.425087983439356,1.591130101897011,0.163658196079474,0.0277499283951284,0.3590306173332494,16.95643328581577,160.396153015104,53.62822335011315,530.6034015351659,2.833944819399842,7.901610099463459,0.0,0.8629916939411336,2.925289314340951,2.02052641482991,37.26516170578315,169.8437141604883,8.6324659149377,3.110912237598559,25.38857596218472,6.696743896506533,12.25417346836053,1.398727824720427,4.504717109498745,1.611798879845248,0.0350829020061965,1.793153125846491,0.6337345726117715,5.698908108484802,1.194784762365512,4.238167919444261,1.107064586491052,9.178988563117688,1.607802292665988,Bhandari et al 2022,0.0,poor,100.3258619766887,5.011022466424291,-3.088356110403584,3.622745373608969,0.08379143826344497,-0.01786216058364158,-1.7124634406212689,0.09786597941885747,3.1246497383877454,2.2551816463537913,0.4037245873436925,-1.8103166863801778,79.38334873419922,0.35865409501694784,2.990890672770452,0.7295731823236907,1.3350243748640582,0.0
66.73034211787947,0.0170239851831004,20.54218037235676,0.1338223650142011,0.12041336403977816,0.03102293915289608,0.2671199364401112,11.03877104466528,0.6770461414991757,0.05623263924836032,0.01618588129716318,0.4861744150713533,6.930362493901429,47.50867109760976,8.569764475501161,5.022471243420256,1.172776803173393,4.059142622757141,0.0,0.755338877365405,7.638014864863202,5.236733723659301,1.115562250752523,20.35239640313303,1.132051631381352,0.8017526742317598,1.378361435248719,0.7450183940560013,1.449991464294745,0.1297160674178854,0.4292589122492726,0.118337057511377,0.0364797563099993,0.1073769425002468,0.0263683012363095,0.1981041674717546,0.0404722411190903,0.1251402357216491,0.0482736299547533,0.2524458148920047,0.0459674710183707,Bhandari et al 2022,0.0,poor,100.11633520184765,5.386896206831347,-2.7765769024042313,4.409810917167275,-0.4087503167795932,-0.5763520152232868,-2.130381315076745,-0.16223976071715548,3.962029016835555,1.8916922405311358,-0.37220488985587546,-2.4058799826413115,9.072195304292057,0.2889222952153362,5.543754584320878,2.9512012087612436,5.74377303468091,0.0
79.15939217490208,0.0472373023711571,11.75547558774845,0.5788399844149541,0.5208402179765758,0.05135744485575248,0.7049061058632695,3.978850464614087,3.176844412206934,0.1199228697521278,0.02297569901441559,0.3922722369323879,32.39225063625045,160.5278469634168,23.10452142246421,8.556303155524722,2.106421988371336,8.845970241517044,0.0,1.328926754484932,32.9691031251323,21.14317372030712,5.064049150761779,3.510331561803085,0.1487280389374395,1.245221307227012,3.085284257084376,1.456671187244823,2.376144722155106,0.2458972199709198,0.8126081201244466,0.2704578423539685,0.2598350728923773,0.2973068272277855,0.0924015487862598,0.7684611704052164,0.1494183329576275,0.4909508553927191,0.1221440211202895,0.7162326300072172,0.1183318631954082,Bhandari et al 2022,0.0,poor,100.50891450065218,5.003441812441192,-2.3053975337689288,3.2666003585761003,0.45847117418576155,0.4069847262217027,-2.0323045804513162,0.46459456032152174,2.5039729135069373,2.9726867644723756,0.19077622023192484,-2.0064289181173565,7.592419619067719,0.23812221055020122,6.947897514437922,2.0337961804813958,3.317559997414754,0.0
70.21523402824279,0.0133486322670323,16.142249887638,0.1931355645001175,0.17378338093720574,0.002749818247008666,0.1267073113817719,2.726444791909093,10.11175840733509,0.1169641000840306,0.08799418390427732,0.253485424588015,18.85823972000134,1083.391103196374,93.32269232122862,17.36704755200536,1.185035736035863,8.19565844192322,0.0,0.6941874084210978,5.509750154648653,1.945102127235798,0.4502818173132852,4.855278641232352,0.2783869280483272,0.7955887306001407,14.76419729690742,0.3263391599423661,0.505933303294281,0.05013051981784362,0.1554839961061328,0.0395944866703924,0.015636038224052,0.0340668398975857,0.0097424487631406,0.06014749023824836,0.009720917419125667,0.02775299285167,0.026013837922373,0.0419634668545181,0.0071606159197337,Bhandari et al 2022,0.0,poor,100.16385553103443,5.421705034278198,-3.0469160076083,4.1132261338103735,-0.09554632937649415,-0.22121207509368335,-4.73392230924295,-1.4053197226692324,1.7099472866097476,3.7209989802639782,-0.19956929592023898,-0.7481441505987368,556.9841747774914,0.1445931091971884,11.609085381583329,7.776744497153719,12.056518234022136,0.0
67.7290368604767,0.0238670904323679,19.88553987103159,0.2694456554033633,0.2424472007319463,0.08151239463980806,0.4350879452451628,9.674098011457854,1.258468890458346,0.1292632653651625,0.03364003588309539,0.4741379310345262,33.10299667340748,157.2708921778773,32.59205500922714,30.61649715665714,5.272147647080019,19.23032587709705,0.0,2.582115663207236,10.42845036648461,3.165218939339155,0.6965843656210423,7.400726562794876,0.338089949398885,0.5573828542266552,0.5494821278580176,0.4123510588943803,0.5147222585305724,0.08493038286036207,0.3109244916458626,0.0971964215087319,0.0406057842651759,0.0836640521684641,0.0192887986053285,0.1343698067343979,0.02098685495770207,0.0559587956820063,0.0308096903375467,0.0713630470343091,0.0125810478470865,Bhandari et al 2022,0.0,poor,100.23654515215992,4.949754158312533,-2.9166536305590207,3.864551467285629,-0.24160402873446105,-0.386825939194006,-1.624033861004084,-0.08693886552732884,3.3612823668997622,1.9843202456157252,0.018978282420477863,-1.8708499492007706,49.68720811796761,0.27415799819383435,4.825436510013018,5.778215421437021,7.212728154434188,0.0
68.65576616234054,0.0104450016496986,16.791283821594,0.0462355488054561,0.0416027468151494,0.006723969811993472,0.1041556108132322,2.217565243995447,11.97181812619775,0.1049318105871657,0.008068763774392166,0.07093635995137261,13.3709030304181,1043.060056263313,94.40928824979792,4.866666202148482,0.9402319224090745,1.734477400280692,0.0,0.1438483691938227,10.83605281632563,2.77599123601089,0.1244763367804188,7.447525894310671,0.2383464742117357,0.2160681574352329,0.15581574489468,0.2337844930575819,0.3658368477917056,0.03920475397150194,0.136902496856341,0.0262045210752513,0.0161651405913964,0.0208220042436886,0.0042524968906037,0.01604810847084922,0.003232890295071109,0.00986574585579835,0.0218253848255001,0.0087138748508803,0.0024949314894365,Bhandari et al 2022,0.0,poor,100.02953316633618,5.937760625460338,-2.715311717216979,4.779939430182426,-0.9083151062029043,-1.1428052423283288,-3.2881092799935816,-0.8887966523454007,2.330710836293937,4.9559279154601805,1.2071240641112138,-1.537096596633595,375.743281438523,0.5420836975200231,11.048277935360302,26.828993651884307,41.983257052945596,0.0
75.10271787168914,0.0115210207272895,15.06111733934666,0.2732878666952441,0.24590442245238064,0.01450368498224333,0.473114857709542,8.309292978008864,0.2832750973094402,0.1328421168241323,0.2571107792306773,0.07908264136021272,7.055858037549283,17.20109630654764,6.221820502730212,114.9813393610995,17.12284158037614,59.60934821161689,0.0,1.34480409176684,3.127737481375034,0.6145137281522541,4.140946506371435,10.70718685917196,0.7076227187973075,2.21527967682595,5.865236994226661,1.848978690590908,3.599682143769281,0.3722904534836098,1.039488226164191,0.4367050321468995,0.0108589763787751,0.3550820387172963,0.117623885731104,0.7528648493223397,0.08852250636979322,0.2035636138656794,0.0577993822015223,0.2637251346328681,0.0380789357912785,Bhandari et al 2022,0.0,poor,100.24377067633583,5.396300077187887,-3.299748932842794,3.915840581475172,0.12548925312416725,0.029418717274767147,-3.023363015130759,0.24026413438513133,3.498314697967077,0.6149050948866739,-0.05783970961438131,0.8336885404864585,27.991394689047265,0.28725094459327066,2.764640397292012,7.011006717902987,13.649370769230623,0.0
75.13053946873033,0.0167075099236915,16.12483551510283,0.2668865848335256,0.24014454903320637,0.08144911087799644,0.8593925416998855,3.397889830730775,3.076270264699712,0.1113137848665951,0.03550345858784461,0.7892635869181626,10.13240229669533,54.75651495910046,2.823732973139086,1.252805518238673,1.163491129780049,3.595899669747182,0.0,0.1948193089169196,495.8224725019206,195.914589727706,2.106725447231801,21.71989616701163,0.4918947442943097,2.72445351221182,0.7305685542837368,4.260507365266101,7.596737441039195,0.7973348008015446,2.770804828256507,0.8221974615559302,0.8758467566056468,0.6031114691937178,0.0967988619239838,0.4469781636457135,0.05780136558845063,0.14587641685475,0.0248694225287857,0.1524189606420256,0.0203099515576053,Bhandari et al 2022,0.0,poor,100.13019620600457,5.018057952399085,-3.3246542993634955,3.5684519663266574,-0.3604266494326727,-0.5215581268353309,-1.7701405511628825,0.48668112999459784,2.1330037511375073,2.638876401500096,-0.33314050556501507,-2.19307062811214,0.27949176748502697,0.3235605096462135,19.391534355399322,27.952607387688595,49.84115761608592,0.0
