SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,LOI,Li,Rb,Cs,Be,Ta,Nb,Sn,W,Ba,Sr,Y,Zr,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Source_Sheet,Li_Class,Li_Label,Total_Majors,ilr_SiO2_vs_rest,ilr_TiO2_vs_rest,ilr_Al2O3_vs_rest,ilr_Fe2O3_vs_rest,ilr_FeO_vs_rest,ilr_MgO_vs_rest,ilr_CaO_vs_rest,ilr_Na2O_vs_rest,ilr_K2O_vs_rest,ilr_P2O5_vs_rest,ilr_MnO_vs_rest,Rb_Sr,Ta_Nb,Rb_Cs,La_Yb,Ce_Yb,Sn_W
73.27,0.06,15.01,0.7668370749055344,0.69,0.12,1.0,3.89,4.53,0.16,0.03,0.62,,402.0,24.0,8.14,1.0,6.82,6.36,0.77,74.7,56.2,26.7,59.8,3.64,10.4,13.1,16.6,35.4,4.13,14.7,5.32,0.5,6.96,1.01,5.29,0.88,2.31,0.3,1.96,0.31,"Gao et al., 2017",,,100.14683707490553,4.616992908438881,-2.396811550151495,3.171058463232183,0.39073824257811385,0.3301828008203394,-1.5080895235810992,0.538236744952427,2.1779503018348394,2.9875974005123296,0.1304070660869218,-2.1414885113214632,7.153024911032028,0.14662756598240467,16.75,8.469387755102042,18.06122448979592,8.25974025974026
73.31,0.08,15.19,0.21,0.7,0.23,1.0,3.93,4.54,0.11,0.02,0.74,,353.0,14.9,7.72,0.88,8.88,10.3,1.9,105.0,67.3,8.23,46.5,2.02,8.41,2.56,10.8,22.2,2.87,10.3,3.38,0.43,2.98,0.46,1.92,0.26,0.66,0.07,0.42,0.06,"Gao et al., 2017",,,100.06,4.69771131084691,-2.0072378833082816,3.3110703171171765,-0.8390993986679937,0.3356517815920135,-0.8146012149789066,0.6461002062041207,2.321493310431835,3.1636439299791586,-0.08223007618660784,-2.553304542338705,5.24517087667162,0.09909909909909909,23.691275167785236,25.714285714285715,52.857142857142854,5.421052631578948
73.58,0.09,15.25,0.15,0.63,0.22,1.0,3.86,4.71,0.11,0.02,0.61,,397.0,20.5,8.34,0.46,6.18,10.6,1.52,171.0,103.0,5.73,41.0,1.66,10.0,3.93,13.3,27.0,3.53,12.4,3.61,0.56,2.6,0.37,1.37,0.17,0.41,0.05,0.28,0.05,"Gao et al., 2017",,,100.22999999999999,4.748141637114623,-1.8323179955109061,3.3844527377576923,-1.1181193786616779,0.26634168476071,-0.828844648601773,0.6779416144263073,2.3403973339876387,3.2512493038024672,-0.0033600872021469145,-2.4166977142252213,3.854368932038835,0.0744336569579288,19.365853658536587,47.5,96.42857142857142,6.973684210526315
71.01,0.02,16.94,0.7779506557012669,0.7,0.07,0.77,4.98,4.8,0.12,0.03,0.58,,516.3,24.88,,2.66,14.73,,,70.05,30.01,10.97,37.26,2.23,6.29,4.32,7.53,15.79,1.84,6.47,2.39,0.23,2.3,0.42,2.03,0.33,0.81,0.11,0.71,0.1,Xie et al 2018..,,,100.79795065570127,4.7435524016404695,-3.3775471172777034,3.372357666161062,0.502760592837822,0.45720420656383715,-1.9591422104837721,0.30867433816131523,2.465187187091047,3.1400338590444976,-0.07725772283639204,-2.0943305881668004,17.204265244918357,0.18058384249830278,20.7516077170418,10.605633802816902,22.239436619718308,
73.89,0.03,14.94,0.8890864636585908,0.8,0.08,0.58,4.17,4.15,0.06,0.04,0.64,,522.3,25.0,,2.68,14.85,,,71.49,30.11,11.3,37.59,2.22,6.09,4.04,6.99,14.66,1.73,6.16,2.26,0.23,2.21,0.41,2.06,0.33,0.82,0.12,0.74,0.1,Xie et al 2018..,,,100.2690864636586,4.801895379596574,-2.9300774657378086,3.307224773095779,0.7048278155526682,0.6863269006014012,-1.6945741123236913,0.16503125252175765,2.407603338002255,3.102651088529651,-0.80084373155797,-1.9605162869370945,17.346396545998005,0.18047138047138048,20.892,9.445945945945946,19.81081081081081,
71.55,0.07,15.86,1.011335852411647,0.91,0.15,0.94,4.17,4.96,0.24,0.02,0.62,,365.7,32.09,,0.79,9.27,,,144.9,66.81,5.45,27.5,1.16,4.13,2.45,5.81,11.95,1.39,5.13,1.52,0.45,1.42,0.22,1.16,0.18,0.41,0.05,0.32,0.05,Xie et al 2018..,,,100.50133585241163,4.499882057021799,-2.3385112795234875,3.131085935352245,0.581163534934875,0.5461047866400934,-1.3166691150333751,0.4525058047933205,2.219841629237372,3.0661318760995484,0.6269983777706318,-2.4281956387992825,5.473731477323754,0.08522114347357067,11.396073543159861,18.15625,37.34375,
74.62,0.06,14.73,0.9224272060457879,0.83,0.15,0.68,3.86,4.5,0.07,0.02,0.54,,354.9,31.17,,0.78,9.09,,,144.1,66.02,6.1,26.96,1.15,3.25,2.68,4.62,9.43,1.11,4.07,1.26,0.43,1.35,0.21,1.19,0.2,0.47,0.06,0.39,0.06,Xie et al 2018..,,,100.98242720604578,4.738620286947003,-2.2827238708757833,3.2773381379433593,0.7254753082412735,0.7097389566804315,-1.028328880464053,0.4389835993652909,2.4789184922971486,3.377412868314,-0.32264308570470623,-2.3305085976362796,5.375643744319903,0.0858085808580858,11.385948026948988,11.846153846153847,24.17948717948718,
73.19,0.06,15.02,0.9002000444543232,0.81,0.14,0.8,3.85,4.87,0.1,0.01,0.56,,317.6,13.41,,0.74,7.41,,,204.6,91.23,5.14,35.38,1.51,7.27,5.89,12.64,24.47,2.95,10.82,3.01,0.63,2.58,0.36,1.37,0.17,0.32,0.04,0.21,0.03,Xie et al 2018..,,,100.31020004445432,4.733971984406025,-2.267521623110292,3.3146958819900814,0.7206924211712005,0.7043156725077235,-1.0827661874831394,0.6281809805208523,2.52603510805843,3.5324759331668623,0.2367099094663428,-2.8463534771795582,3.4813109722678943,0.09986504723346828,23.683818046234155,60.1904761904762,116.52380952380952,
74.61,0.05,15.26,1.8226272505001109,1.64,0.25,0.66,2.84,2.4,0.05,0.01,1.85,,200.0,9.89,9.13,1.19,9.63,14.8,3.43,103.0,94.0,14.7,28.6,1.76,4.36,8.07,9.05,17.9,2.09,8.31,2.66,0.71,3.01,0.57,2.82,0.5,1.5,0.17,1.09,0.16,"Gao et al., 2019",,,101.44262725050011,4.654731712343979,-2.5656990993721607,3.19394194930293,1.3170794386842035,1.3805549868592648,-0.4375744723947251,0.5456899246090147,2.2998997336590086,2.77478091015275,-0.8171007884833948,-3.691349004119578,2.127659574468085,0.12357217030114225,20.222446916076844,8.302752293577981,16.42201834862385,4.314868804664723
73.36,0.09,16.73,1.389197599466548,1.25,0.28,0.66,2.23,2.99,0.07,0.04,1.95,,290.0,10.8,8.6,1.29,18.4,16.2,2.79,100.0,77.2,24.3,46.8,2.86,6.01,4.52,9.18,20.3,2.39,8.58,3.45,0.55,5.07,0.88,4.73,0.8,2.33,0.28,1.93,0.25,"Gao et al., 2019",,,101.03919759946655,4.464182491152303,-2.140239078813915,3.1416674528956854,0.8730623380877596,0.8770869185572052,-0.6032099225209474,0.22556206232764497,1.6374813998049675,2.452620504637029,-1.1298163749110175,-2.7483156015855497,3.756476683937824,0.07010869565217392,26.85185185185185,4.756476683937824,10.518134715025907,5.806451612903225
75.63,0.05,15.56,1.100244498777506,0.99,0.15,0.75,3.16,2.01,0.08,0.05,1.36,,170.0,11.5,26.6,4.15,21.0,19.6,1.77,91.4,91.7,15.9,28.5,2.58,7.0,5.53,8.71,19.3,2.08,7.57,2.98,0.67,3.54,0.66,3.2,0.47,1.38,0.18,1.16,0.17,"Gao et al., 2019",,,100.89024449877749,4.639169663367366,-2.596987703421554,3.179872689406198,0.7453354811083888,0.7322582759952072,-1.1927291536780693,0.35179473253069377,2.038875762765008,2.109747691115756,-0.9647763260789725,-2.335727121552313,1.8538713195201744,0.19761904761904764,14.782608695652174,7.5086206896551735,16.63793103448276,11.073446327683616
75.42,0.03,15.51,0.24,0.56,0.14,0.61,2.44,2.48,0.02,0.13,1.72,,290.0,8.1,36.8,5.85,24.0,23.6,1.66,53.0,57.0,9.84,26.8,2.26,4.89,1.91,4.76,10.2,1.29,4.32,2.29,0.12,1.96,0.33,1.72,0.26,0.7,0.12,0.84,0.12,"Gao et al., 2019",,,99.3,4.908631063234985,-2.834649710433891,3.452192300077811,-0.5618010785718991,0.26877696795196604,-1.187012138082422,0.2078025304924023,1.8044292976271223,2.3482842385778344,-2.5826397076344367,-1.826135166613962,5.087719298245614,0.24375,35.80246913580247,5.666666666666667,12.142857142857142,14.216867469879519
74.42,0.03,14.12,0.21,0.36,0.12,0.54,4.44,3.42,0.14,0.04,1.04,,465.0,29.7,80.5,3.18,9.32,13.4,0.8,3.31,4.19,6.5,35.2,1.95,1.44,1.74,2.37,4.27,0.6,2.13,0.86,0.05,0.96,0.2,1.18,0.2,0.64,0.1,0.78,0.1,"Gao Li-E, et al., 2021",,,98.88000000000002,4.875058622879011,-2.8574272180828615,3.3280391744489646,-0.7426516275021975,-0.26587629636586346,-1.493644397713014,-0.11966964799396672,2.2089545179738845,2.550355215535433,-0.30723566132416413,-2.3038221557954044,110.97852028639618,0.34120171673819744,15.656565656565657,3.0384615384615383,5.474358974358974,16.75
